"id","case_number","date","block","iucr","primary_type","description","location_description","arrest","domestic","beat","district","ward","community_area","fbi_code","x_coordinate","y_coordinate","year","updated_on","latitude","longitude","location"
"14193193","JK249780","2026-05-07T00:00:00.000","057XX S MASSASOIT AVE","0820","THEFT","$500 AND UNDER","STREET","false","false","0811","008","13","56","06","1139027","1865902","2026","2026-05-14T15:42:45.000","41.788146448","-87.7657879","
,  
(41.788146448, -87.7657879)"
"14189343","JK244991","2026-05-07T00:00:00.000","037XX S KEDZIE AVE","0520","ASSAULT","AGGRAVATED - KNIFE / CUTTING INSTRUMENT","STREET","false","false","0911","009","12","58","04A","1155651","1879447","2026","2026-05-14T15:42:45.000","41.824998461","-87.704470011","
,  
(41.824998461, -87.704470011)"
"14190162","JK245267","2026-05-07T00:00:00.000","035XX N NEWCASTLE AVE","0710","THEFT","THEFT FROM MOTOR VEHICLE","STREET","false","false","1632","016","38","17","06","1130115","1922819","2026","2026-05-14T15:42:45.000","41.944492153","-87.797162077","
,  
(41.944492153, -87.797162077)"
"14190183","JK245369","2026-05-07T00:00:00.000","005XX W 18TH ST","0810","THEFT","OVER $500","STREET","false","false","1235","012","25","31","06","1172788","1891470","2026","2026-05-14T15:42:45.000","41.857629169","-87.641243842","
,  
(41.857629169, -87.641243842)"
"14190090","JK246106","2026-05-07T00:00:00.000","002XX S MICHIGAN AVE","0870","THEFT","POCKET-PICKING","MOVIE HOUSE / THEATER","false","false","0113","001","34","32","06","1177328","1899333","2026","2026-05-14T15:42:45.000","41.879104092","-87.62434115","
,  
(41.879104092, -87.62434115)"
"14189374","JK245004","2026-05-07T00:00:00.000","051XX N PULASKI RD","0460","BATTERY","SIMPLE","STREET","false","false","1712","017","39","13","08B","1148792","1934090","2026","2026-05-14T15:42:45.000","41.975079507","-87.728220014","
,  
(41.975079507, -87.728220014)"
"14192857","JK249302","2026-05-07T00:00:00.000","043XX N KEELER AVE","2825","OTHER OFFENSE","HARASSMENT BY TELEPHONE","APARTMENT","false","true","1722","017","39","16","26","1147622","1928569","2026","2026-05-14T15:42:45.000","41.959952079","-87.73266487","
,  
(41.959952079, -87.73266487)"
"14191272","JK246952","2026-05-07T00:00:00.000","010XX W BYRON ST","0810","THEFT","OVER $500","STREET","false","false","1923","019","46","6","06","1168290","1926060","2026","2026-05-14T15:42:45.000","41.952644591","-87.656752665","
,  
(41.952644591, -87.656752665)"
"14195956","JK253407","2026-05-07T00:00:00.000","034XX W 53RD ST","0820","THEFT","$500 AND UNDER","RESIDENCE","false","true","0822","008","14","63","06",,,"2026","2026-05-14T15:42:45.000",,,
"14190055","JK245882","2026-05-07T00:00:00.000","001XX W CERMAK RD","0460","BATTERY","SIMPLE","STREET","true","false","0914","009","11","34","08B","1175616","1889758","2026","2026-05-14T15:42:45.000","41.852868298","-87.63091491","
,  
(41.852868298, -87.63091491)"
"14190287","JK246128","2026-05-07T00:00:00.000","014XX N NOBLE ST","2825","OTHER OFFENSE","HARASSMENT BY TELEPHONE","APARTMENT","false","false","1433","014","1","24","26","1166793","1909504","2026","2026-05-14T15:42:45.000","41.90724634","-87.662731685","
,  
(41.90724634, -87.662731685)"
"14190138","JK245143","2026-05-07T00:00:00.000","022XX S WESTERN AVE","0810","THEFT","OVER $500","STREET","false","false","1034","010","25","31","06","1160722","1888860","2026","2026-05-14T15:42:45.000","41.850725412","-87.685605427","
,  
(41.850725412, -87.685605427)"
